"anAgeHorvathLabID","profiled","SpeciesLatinName","CommonNames","HAGRID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Common.name","Female.maturity..days.","Male.maturity..days.","Gestation.Incubation..days.","Weaning..days.","Litter.Clutch.size","Litters.Clutches.per.year","Inter.litter.Interbirth.interval","Birth.weight..g.","Weaning.weight..g.","Growth.rate..1.days.","Source","Specimen.origin","Sample.size","Data.quality","IMR..per.yr.","MRDT..yrs.","Metabolic.rate..W.","Body.mass..g.","Temperature..K.","References","PanTHERIA.ActivityCycle","PanTHERIA.AdultBodyMass_g","PanTHERIA.AdultForearmLen_mm","PanTHERIA.AdultHeadBodyLen_mm","PanTHERIA.AgeatEyeOpening_d","PanTHERIA.AgeatFirstBirth_d","PanTHERIA.BasalMetRate_mLO2hr","PanTHERIA.BasalMetRateMass_g","PanTHERIA.DietBreadth","PanTHERIA.DispersalAge_d","PanTHERIA.GestationLen_d","PanTHERIA.HabitatBreadth","PanTHERIA.HomeRange_km2","PanTHERIA.HomeRange_Indiv_km2","PanTHERIA.InterbirthInterval_d","PanTHERIA.LitterSize","PanTHERIA.LittersPerYear","PanTHERIA.MaxLongevity_m","PanTHERIA.NeonateBodyMass_g","PanTHERIA.NeonateHeadBodyLen_mm","PanTHERIA.PopulationDensity_n.km2","PanTHERIA.PopulationGrpSize","PanTHERIA.SexualMaturityAge_d","PanTHERIA.SocialGrpSize","PanTHERIA.TeatNumber","PanTHERIA.Terrestriality","PanTHERIA.TrophicLevel","PanTHERIA.WeaningAge_d","PanTHERIA.WeaningBodyMass_g","PanTHERIA.WeaningHeadBodyLen_mm","PanTHERIA.References","PanTHERIA.AdultBodyMass_g_EXT","PanTHERIA.LittersPerYear_EXT","PanTHERIA.NeonateBodyMass_g_EXT","PanTHERIA.WeaningBodyMass_g_EXT","PanTHERIA.GR_Area_km2","PanTHERIA.GR_MaxLat_dd","PanTHERIA.GR_MinLat_dd","PanTHERIA.GR_MidRangeLat_dd","PanTHERIA.GR_MaxLong_dd","PanTHERIA.GR_MinLong_dd","PanTHERIA.GR_MidRangeLong_dd","PanTHERIA.HuPopDen_Min_n.km2","PanTHERIA.HuPopDen_Mean_n.km2","PanTHERIA.HuPopDen_5p_n.km2","PanTHERIA.HuPopDen_Change","PanTHERIA.Precip_Mean_mm","PanTHERIA.Temp_Mean_01degC","PanTHERIA.AET_Mean_mm","PanTHERIA.PET_Mean_mm","maxanAge","weightanAge","maxAgeFromFolder","weightFromFolder","maxAgeCaesar","weightCaesar","averagedMaturity.yrs","Hibernation","SpeciesAbbreviation","PanTHERIA.MaxLongevity","MammalNumberHorvath","OrderNumberHorvath","FamilyNumberHorvath","SpeciesNumberHorvath","CancerMortalityRisk.Vinczeo2021","CumulativeIncidenceCancerMortality.Vincze2021","Diet..Animal.","Diet..Invertebrate.","Diet..Vertebrate.","Diet..Fish.","Diet..Reptile.","Diet..Bird."
5778,FALSE,"Mormopterus beccarii",NA,NA,NA,NA,"Mammalia","Chiroptera","Molossidae","Mormopterus","beccarii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3,35.99,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,"196;679;1658;2151;2622;2655;2719",NA,NA,NA,NA,4026964.55,2.22,-28.15,-12.96,153.36,113.38,133.37,0,2.33,0,0.06,67.81,238.4,630.1,1535,NA,NA,NA,NA,NA,NA,NA,NA,"Mrmptb",NA,"8.8.67",8,8,67,NA,NA,NA,NA,NA,NA,NA,NA
5779,FALSE,"Mormopterus doriae",NA,NA,NA,NA,"Mammalia","Chiroptera","Molossidae","Mormopterus","doriae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,"76;679;1658;2151",8.41,NA,NA,NA,38232.28,4.49,2.16,3.32,99.44,97.09,98.26,30,153.7,30,0.07,169.22,236.94,1499.05,1686.84,NA,NA,NA,NA,NA,NA,NA,NA,"Mrmpd",NA,"8.8.68",8,8,68,NA,NA,NA,NA,NA,NA,NA,NA
5780,FALSE,"Mormopterus jugularis",NA,NA,NA,NA,"Mammalia","Chiroptera","Molossidae","Mormopterus","jugularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.56,37.37,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,"76;196;1658;2151;2295;2655;2719",NA,NA,NA,NA,189665.13,-16,-25.6,-20.8,49.86,43.63,46.74,5,42.81,7,0.19,147.12,201.93,1172.75,1579.09,NA,NA,NA,NA,NA,NA,NA,NA,"Mrmpj",NA,"8.8.69",8,8,69,NA,NA,NA,NA,NA,NA,NA,NA
5781,FALSE,"Mormopterus kalinowskii",NA,NA,NA,NA,"Mammalia","Chiroptera","Molossidae","Mormopterus","kalinowskii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"1658;2151",7.49,NA,NA,NA,303093.26,-6.33,-20.43,-13.38,-68.75,-79.98,-74.36,0,60.91,0,0.07,37.24,74.77,525.54,1297.88,NA,NA,NA,NA,NA,NA,NA,NA,"Mrk",NA,"8.8.70",8,8,70,NA,NA,NA,NA,NA,NA,NA,NA
5782,FALSE,"Mormopterus loriae",NA,NA,NA,NA,"Mammalia","Chiroptera","Molossidae","Mormopterus","loriae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2622",NA,NA,NA,NA,561315.78,-8.79,-22.23,-15.51,148.7,114.45,131.57,0,2.01,0,0.04,79.63,253.45,804.62,1709.54,NA,NA,NA,NA,NA,NA,NA,NA,"Mrmpl",NA,"8.8.71",8,8,71,NA,NA,NA,NA,NA,NA,NA,NA
5783,FALSE,"Mormopterus minutus",NA,NA,NA,NA,"Mammalia","Chiroptera","Molossidae","Mormopterus","minutus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"1658;2151",4.27,NA,NA,NA,107157.22,23.19,19.82,21.51,-74.13,-84.95,-79.54,2,108.76,16,0.02,103.5,252.34,1271,1782.03,NA,NA,NA,NA,NA,NA,NA,NA,"Mrmptm",NA,"8.8.72",8,8,72,NA,NA,NA,NA,NA,NA,NA,NA
5784,FALSE,"Mormopterus norfolkensis",NA,NA,NA,NA,"Mammalia","Chiroptera","Molossidae","Mormopterus","norfolkensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,36.5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"1297;1658;2151;2622;2655",NA,NA,NA,NA,122196.45,-26.56,-35.48,-31.02,168.09,150.17,159.13,0,53.36,1,0.09,83.81,160.8,783.39,1229.42,NA,NA,NA,NA,NA,NA,NA,NA,"Mrmpn",NA,"8.8.73",8,8,73,NA,NA,NA,NA,NA,NA,NA,NA
5785,FALSE,"Mormopterus phrudus",NA,NA,NA,NA,"Mammalia","Chiroptera","Molossidae","Mormopterus","phrudus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"1658;2151",6.11,NA,NA,NA,50558.21,-10.61,-13.45,-12.03,-72.3,-74.75,-73.52,1,11.23,2,0.06,106.09,212.95,1007.21,1447.7,NA,NA,NA,NA,NA,NA,NA,NA,"Mrmptrsph",NA,"8.8.74",8,8,74,NA,NA,NA,NA,NA,NA,NA,NA
5786,FALSE,"Moschus anhuiensis",NA,NA,NA,NA,"Mammalia","Artiodactyla","Moschidae","Moschus","anhuiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mscha",NA,"4.6.4",4,6,4,NA,NA,NA,NA,NA,NA,NA,NA
5787,FALSE,"Moschus cupreus",NA,NA,NA,NA,"Mammalia","Artiodactyla","Moschidae","Moschus","cupreus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mschscp",NA,"4.6.5",4,6,5,NA,NA,NA,NA,NA,NA,NA,NA
